description,Personal attacks,Threats or intimidation,Mockery,Lack of specificity,Discouragement without guide,Disregard for other time or boundaries,Unconscious bias,Dismissive attitude,Excessive control,Social,Toxic,AntiSocial,NonToxic
"Running dd as root allows about a billion compromises, so this should be tightened at some point (being able to tighten being the whole point of rootwrap). Getting the tightening right is damn hard though, so should probably be a separate bug.",0,0,0,0,0,0,0,0,0,1,1,0,0
"scope_logger.cc doesn't exist in libshill-net users, like apmanager.
  
  Do we move it under common/ and make apmanager depend on a separate shared library, just for that tiny shill-specific piece of code?
  
  Do we move it under net/ where it doesn't really belong?
  
  Do we tell library callers to implement the ScopeLogger class just so that libshill-net links? That's kind of an ugly interface for a library; at least for C-based shared libraries it is generally nicer to ask users to register a callback than for the .so file to try to link against some of the main executable's symbols.",0,1,0,0,0,0,0,0,0,0,1,1,0
"See, this is why having the changelog on the client side sucks - you removed the client side method, so felt you needed to update the changelog, so felt you needed to bump the version number :)",0,0,0,0,0,0,0,0,0,1,1,0,0
shit :(,1,0,1,1,1,0,0,0,0,0,1,1,0
"silly nit, this isn't valid JSON, you're missing a closing ]",0,0,0,0,0,0,0,0,0,1,1,0,0
silly nit: alphabetical order,0,0,1,0,0,0,0,1,0,0,1,1,0
"Sorry, but this is so horribly ugly (and error-prone)",0,0,0,0,1,0,0,1,0,0,1,1,0
"Sorry, I suck. I should have also told you to put this in pkg_preinst()",0,0,0,0,0,0,0,0,0,1,1,0,0
"stupid IDE, good catch",0,0,0,0,0,0,0,0,0,1,1,0,0
stupid style nit - list comprehension is slightly nicer.,0,0,0,1,0,0,0,0,0,0,1,1,0
stupid trailing space,0,0,1,0,0,0,0,0,0,0,1,1,0
suggest change to not ... and continue so can get rid of this wacky indenting.,0,0,0,1,0,0,0,0,0,0,1,1,0
"that English language stuff always confused the hell out of me.... yep, I kept wordsmithing this line and still didn't like it.",0,0,0,1,1,0,0,0,0,0,1,1,0
"That is a good point. Arguably, Minijail does allow you to fuck some things up (but not many) -- you can always pass a full capabilities mask for example.
 
 If you want to draft a version of this CL that delays the ELF linkage check, that's fine. If you want to land this to unblock other work, that's OK.",0,0,0,0,0,0,1,0,0,0,1,1,0
"The caching is only necessary for the performance benefit of not needing to do that service query from the DB every time we get an instance, which doubles the traffic to the DB on every instance query, which kind of sucks.
  
  Agree with leaving the caching in, that was my point with removing the TODO so we don't forget about this.",0,0,0,0,1,0,0,0,0,0,1,1,0
"The caching is only necessary for the performance benefit of not needing to do that service query from the DB every time we get an instance, which doubles the traffic to the DB on every instance query, which kind of sucks.
  
  Agree with leaving the caching in, that was my point with removing the TODO so we don't forget about this.",0,0,0,0,1,0,0,0,0,0,1,1,0
"The CBManagerState change in the new SDK is so sucky :-( We did https://chromium-review.googlesource.com/c/chromium/src/+/587510/5/device/bluetooth/bluetooth_adapter_mac.mm#43 on Mac (and see discussion on bug linked from that CL). But if this is the only place, this is fine too.",0,0,0,0,1,0,0,0,0,0,1,1,0
"The optimizer should usually be able to make this not suck, but thread.name.assign() is more direct.",0,0,0,0,0,0,0,1,1,0,1,1,0
"These function names - specifically the ""stub1, stub2"" are ugly.",0,0,0,1,1,0,0,0,0,0,1,1,0
This dirty downloading hack looks familiar. lol,0,0,1,1,1,0,0,0,0,0,1,1,0
this is actually terrible ...,1,0,0,1,1,0,0,0,0,0,1,1,0
"This is kind of ugly...
 I think instead you should pass the timeout with the function when you register it, and keep a private max timeout requested variable",0,0,0,1,1,0,0,0,0,0,1,1,0
this is the only new bit. stupid git.,1,0,0,0,0,0,0,1,0,0,1,1,0
"this is ugly, you should probably split it on two lines so it lines up. (or remove channel so it is shorter) :)
  
  'nfs=nova.virt.libvirt.volume_nfs.NfsVolumeDriver',
  'fibrechan=nova.virt.libvirt.volume.'
  'LibvirtFibreChannelVolumeDriver',",0,0,0,1,0,0,0,0,0,0,1,1,0
"This is what the query looks like:
  
  SELECT ports.tenant_id AS ports_tenant_id, ports.id AS ports_id, ports.name AS ports_name, ports.network_id AS ports_network_id, ports.mac_address AS ports_mac_address, ports.admin_state_up AS ports_admin_state_up, ports.status AS ports_status, ports.device_id AS ports_device_id, ports.device_owner AS ports_device_owner, securitygroupportbindings.security_group_id AS securitygroupportbindings_security_group_id, ipallocations_1.port_id AS ipallocations_1_port_id, ipallocations_1.ip_address AS ipallocations_1_ip_address, ipallocations_1.subnet_id AS ipallocations_1_subnet_id, ipallocations_1.network_id AS ipallocations_1_network_id, allowedaddresspairs_1.port_id AS allowedaddresspairs_1_port_id, allowedaddresspairs_1.mac_address AS allowedaddresspairs_1_mac_address, allowedaddresspairs_1.ip_address AS allowedaddresspairs_1_ip_address, ml2_port_bindings_1.port_id AS ml2_port_bindings_1_port_id, ml2_port_bindings_1.host AS ml2_port_bindings_1_host, ml2_port_bindings_1.vnic_type AS ml2_port_bindings_1_vnic_type, ml2_port_bindings_1.profile AS ml2_port_bindings_1_profile, ml2_port_bindings_1.vif_type AS ml2_port_bindings_1_vif_type, ml2_port_bindings_1.vif_details AS ml2_port_bindings_1_vif_details, ml2_port_bindings_1.driver AS ml2_port_bindings_1_driver, ml2_port_bindings_1.segment AS ml2_port_bindings_1_segment, securitygroupportbindings_1.port_id AS securitygroupportbindings_1_port_id, securitygroupportbindings_1.security_group_id AS securitygroupportbindings_1_security_group_id, extradhcpopts_1.id AS extradhcpopts_1_id, extradhcpopts_1.port_id AS extradhcpopts_1_port_id, extradhcpopts_1.opt_name AS extradhcpopts_1_opt_name, extradhcpopts_1.opt_value AS extradhcpopts_1_opt_value, ml2_dvr_port_bindings_1.port_id AS ml2_dvr_port_bindings_1_port_id, ml2_dvr_port_bindings_1.host AS ml2_dvr_port_bindings_1_host, ml2_dvr_port_bindings_1.router_id AS ml2_dvr_port_bindings_1_router_id, ml2_dvr_port_bindings_1.vif_type AS ml2_dvr_port_bindings_1_vif_type, ml2_dvr_port_bindings_1.vif_details AS ml2_dvr_port_bindings_1_vif_details, ml2_dvr_port_bindings_1.vnic_type AS ml2_dvr_port_bindings_1_vnic_type, ml2_dvr_port_bindings_1.profile AS ml2_dvr_port_bindings_1_profile, ml2_dvr_port_bindings_1.cap_port_filter AS ml2_dvr_port_bindings_1_cap_port_filter, ml2_dvr_port_bindings_1.driver AS ml2_dvr_port_bindings_1_driver, ml2_dvr_port_bindings_1.segment AS ml2_dvr_port_bindings_1_segment, ml2_dvr_port_bindings_1.status AS ml2_dvr_port_bindings_1_status 
  FROM ports LEFT OUTER JOIN securitygroupportbindings ON ports.id = securitygroupportbindings.port_id LEFT OUTER JOIN ipallocations AS ipallocations_1 ON ports.id = ipallocations_1.port_id LEFT OUTER JOIN allowedaddresspairs AS allowedaddresspairs_1 ON ports.id = allowedaddresspairs_1.port_id LEFT OUTER JOIN ml2_port_bindings AS ml2_port_bindings_1 ON ports.id = ml2_port_bindings_1.port_id LEFT OUTER JOIN securitygroupportbindings AS securitygroupportbindings_1 ON ports.id = securitygroupportbindings_1.port_id LEFT OUTER JOIN extradhcpopts AS extradhcpopts_1 ON ports.id = extradhcpopts_1.port_id LEFT OUTER JOIN ml2_dvr_port_bindings AS ml2_dvr_port_bindings_1 ON ports.id = ml2_dvr_port_bindings_1.port_id 
  WHERE ports.id IN (:id_1, :id_2, :id_3, :id_4, :id_5, :id_6)
  
  Maybe we want to disable eager loading so it doesn't pull in all that crap we don't need? We really only want the port and security groups?",1,0,0,1,0,0,0,0,0,0,1,1,0
"This is what the query looks like:
  
  SELECT ports.tenant_id AS ports_tenant_id, ports.id AS ports_id, ports.name AS ports_name, ports.network_id AS ports_network_id, ports.mac_address AS ports_mac_address, ports.admin_state_up AS ports_admin_state_up, ports.status AS ports_status, ports.device_id AS ports_device_id, ports.device_owner AS ports_device_owner, securitygroupportbindings.security_group_id AS securitygroupportbindings_security_group_id, ipallocations_1.port_id AS ipallocations_1_port_id, ipallocations_1.ip_address AS ipallocations_1_ip_address, ipallocations_1.subnet_id AS ipallocations_1_subnet_id, ipallocations_1.network_id AS ipallocations_1_network_id, allowedaddresspairs_1.port_id AS allowedaddresspairs_1_port_id, allowedaddresspairs_1.mac_address AS allowedaddresspairs_1_mac_address, allowedaddresspairs_1.ip_address AS allowedaddresspairs_1_ip_address, ml2_port_bindings_1.port_id AS ml2_port_bindings_1_port_id, ml2_port_bindings_1.host AS ml2_port_bindings_1_host, ml2_port_bindings_1.vnic_type AS ml2_port_bindings_1_vnic_type, ml2_port_bindings_1.profile AS ml2_port_bindings_1_profile, ml2_port_bindings_1.vif_type AS ml2_port_bindings_1_vif_type, ml2_port_bindings_1.vif_details AS ml2_port_bindings_1_vif_details, ml2_port_bindings_1.driver AS ml2_port_bindings_1_driver, ml2_port_bindings_1.segment AS ml2_port_bindings_1_segment, securitygroupportbindings_1.port_id AS securitygroupportbindings_1_port_id, securitygroupportbindings_1.security_group_id AS securitygroupportbindings_1_security_group_id, extradhcpopts_1.id AS extradhcpopts_1_id, extradhcpopts_1.port_id AS extradhcpopts_1_port_id, extradhcpopts_1.opt_name AS extradhcpopts_1_opt_name, extradhcpopts_1.opt_value AS extradhcpopts_1_opt_value, ml2_dvr_port_bindings_1.port_id AS ml2_dvr_port_bindings_1_port_id, ml2_dvr_port_bindings_1.host AS ml2_dvr_port_bindings_1_host, ml2_dvr_port_bindings_1.router_id AS ml2_dvr_port_bindings_1_router_id, ml2_dvr_port_bindings_1.vif_type AS ml2_dvr_port_bindings_1_vif_type, ml2_dvr_port_bindings_1.vif_details AS ml2_dvr_port_bindings_1_vif_details, ml2_dvr_port_bindings_1.vnic_type AS ml2_dvr_port_bindings_1_vnic_type, ml2_dvr_port_bindings_1.profile AS ml2_dvr_port_bindings_1_profile, ml2_dvr_port_bindings_1.cap_port_filter AS ml2_dvr_port_bindings_1_cap_port_filter, ml2_dvr_port_bindings_1.driver AS ml2_dvr_port_bindings_1_driver, ml2_dvr_port_bindings_1.segment AS ml2_dvr_port_bindings_1_segment, ml2_dvr_port_bindings_1.status AS ml2_dvr_port_bindings_1_status 
  FROM ports LEFT OUTER JOIN securitygroupportbindings ON ports.id = securitygroupportbindings.port_id LEFT OUTER JOIN ipallocations AS ipallocations_1 ON ports.id = ipallocations_1.port_id LEFT OUTER JOIN allowedaddresspairs AS allowedaddresspairs_1 ON ports.id = allowedaddresspairs_1.port_id LEFT OUTER JOIN ml2_port_bindings AS ml2_port_bindings_1 ON ports.id = ml2_port_bindings_1.port_id LEFT OUTER JOIN securitygroupportbindings AS securitygroupportbindings_1 ON ports.id = securitygroupportbindings_1.port_id LEFT OUTER JOIN extradhcpopts AS extradhcpopts_1 ON ports.id = extradhcpopts_1.port_id LEFT OUTER JOIN ml2_dvr_port_bindings AS ml2_dvr_port_bindings_1 ON ports.id = ml2_dvr_port_bindings_1.port_id 
  WHERE ports.id IN (:id_1, :id_2, :id_3, :id_4, :id_5, :id_6)
  
  Maybe we want to disable eager loading so it doesn't pull in all that crap we don't need? We really only want the port and security groups?",1,0,0,1,0,0,0,0,0,0,1,1,0
"This line is super horrible and needs to die! Please do something like:
  
  attempts = 1
  if retries >= 1:
  attempts = retries + 1
  
  or something along those lines.
  
  also - a test would be nice (there are already tests that test some cases of this so just add another one in test_compute_mgr.py",0,0,0,0,0,0,0,0,0,1,1,0,0
"This line is super horrible and needs to die! Please do something like:
  
  attempts = 1
  if retries >= 1:
  attempts = retries + 1
  
  or something along those lines.
  
  also - a test would be nice (there are already tests that test some cases of this so just add another one in test_compute_mgr.py",0,0,0,0,0,0,0,0,0,1,1,0,0
"This part is apparently not true. (if by upper layers, you mean other parts of flashrom.)<br><br>I tried 'flashrom --read /tmp/c.bin' on Kevin, and this produced a large (full 8MB I think?) read, which apparently the SPI driver still can't handle. I need to fix that up...<br><br>But this means unfortunately, we should keep the hack for now, and loop over eraseblock sized chunks in the 'read' path still. And for your sake, we can do the same for writes. (I just objected to changing the ""page size"".)<br><br>Sorry for jerking you around a bit :) I'll try to fix things up on the MTD side a bit, so we don't have to live with these hacks forever.",0,0,0,0,0,0,0,0,0,1,1,0,0
"This was actually shockingly bad, since it meant that we'd always calculate the hashed id even if the blacklist was empty. Yuck!",0,0,0,0,0,0,0,0,0,1,1,0,0
This'll crap out if the search fails,0,0,0,1,0,0,0,0,0,0,1,1,0
"Those bastards! But my point is, there should be an uppercase L in 'liberty'.",1,0,0,0,0,1,0,0,0,0,1,1,0
Totally clumsy! I dislike it immensely! I think we should make a fileglobbing feature.,0,0,1,1,1,0,0,0,0,0,1,1,0
"Ugh - this is such a low level detail to put it here.
  
  Why not do it in the scheduler_client.update_resource_stats()?
  
  But really this RT code just sucks :( it's basically one giant function that operates on dicts that eventually get passed into the db update. yuck!",0,0,1,0,1,0,0,0,0,0,1,1,0
"Ugh - this is such a low level detail to put it here.
  
  Why not do it in the scheduler_client.update_resource_stats()?
  
  But really this RT code just sucks :( it's basically one giant function that operates on dicts that eventually get passed into the db update. yuck!",0,0,1,0,1,0,0,0,0,0,1,1,0
"Uh yeah so at the risk of driving you insane, you've got weighters twice here where you caller them weighers everywhere else.
  
  /duck",0,0,0,1,1,0,0,0,0,0,1,1,0
"Unfortunately I had to do all of that casting or Ansible converted back to unicode :/ I agree, very ugly.",0,0,0,0,0,0,0,0,0,1,1,0,0
"Unique constraints or indexes on nullable columns are absolutely stupid, anyway. I fully support getting rid of these cases in the DB schema.",0,0,1,1,1,0,0,0,0,0,1,1,0
use this cleanup commit to finally get rid of that odd --language handling for good.,0,0,0,0,0,0,0,0,1,0,1,1,0
what if the directory doesn't exist locally? Will this be created? If so I wonder if subsequent stack.sh may end up screw up permissions? If not since this is supposed to be owned by the 'stack' user?,0,0,0,0,0,0,0,0,0,1,1,0,0
whatttt *shruggggg*,0,0,0,1,0,0,0,0,0,0,1,1,0
Why the hell we need a copy?!,0,0,1,0,1,0,0,0,0,0,1,1,0
WTF,1,0,0,1,1,0,0,0,0,0,1,1,0
"Wtf why did you change "" to ' when we are changing everywhere ' to """,0,0,0,0,0,0,0,0,0,1,1,0,0
wtf...,1,0,0,1,1,0,0,1,0,0,1,1,0
"Ya, one mans garbage is another mans not garbage. It'd be nicer to have a log level for this stuff; since when the shit hits the fan it can actually be useful, better to have things and just turn then off then not have them at all.",0,0,0,0,0,0,0,0,0,1,1,0,0
ya. darn. i thought i snagged all these.,0,0,0,1,0,0,0,0,0,0,1,1,0
"Yea, it is a bit messy - and particularly when considering arm32-style paired single registers. I think a portable sameness test would be something like:
 
  bool IsSameReg(RegStorage reg1, RegStorage reg2) {
  RegisterInfo* info1 = GetRegInfo(reg1);
  RegisterInfo* info2 = GetRegInfo(reg2);
  return (info1->Master() == info2->Master()) &&
  ((info1->StorageMask() & info2->StorageMask()) != 0);
  }
 
 Yuck.",0,0,0,0,0,0,0,0,0,1,1,0,0
"yeah that sucked, fixed
  
  Done.",0,0,0,0,0,0,0,0,0,1,1,0,0
"yeah, we can make it a staticmethod.
  
  I just hate those docs, as they drift out of sync.",0,0,0,0,0,0,1,0,0,0,1,1,0
"Yes, and ... crap.",0,0,0,1,1,0,0,0,0,0,1,1,0
"Yes, but I guess this is rabbit issue only, due to the fact that the reply queue have been historically created with auto_delete=True.
  
  Another rabbitmq reported issue in the past was that a HA rabbitmq cluster that failover can in certain circumstance report that the queue doesn't exists just after the failover when It exists in reality. That another reason of why we do this crap.",0,0,0,0,0,0,0,0,0,1,1,0,0
"Yes, but I guess this is rabbit issue only, due to the fact that the reply queue have been historically created with auto_delete=True.
  
  Another rabbitmq reported issue in the past was that a HA rabbitmq cluster that failover can in certain circumstance report that the queue doesn't exists just after the failover when It exists in reality. That another reason of why we do this crap.",0,0,0,0,0,0,0,0,0,1,1,0,0
"Yes, doc strings in unit tests suck because they cause the name of the failing test to be hidden.",0,0,0,0,0,0,0,0,0,1,1,0,0
"yes, i guess i was understating :P damn Brits",0,0,1,0,0,0,0,0,0,0,1,1,0
"Yes, unfortunately this does add some fragility here. Though you are wrong that it is inserting namespace data. And of course if the compiler does add that, it would make for a 100% failure rate of the test (fun fact: \__func_ \_ apparently at least on the Android build system is resolved to \__PRETTY_FUNCTION_ \_ which does add a lot of crap).<br><br>As per the commend on the hardcoded strings though, this way we are ensuring we have to correct mapping and don't require constants for everything that is redundant and makes it harder to add tests.<br><br>Again, this is a test - not another abstraction layer on top of a HAL on top of an API...",0,0,0,1,0,0,0,0,0,0,1,1,0
You are an evil :O!,1,0,0,1,1,0,1,0,0,0,1,1,0
you can. some people prefer reinterpret_cast because it shouts danger! crappy type-unsafe C API here!. others prefer static_cast because it's the weakest cast that will still work. i'll +2 either (but tend to use reinterpret_cast personally; i've never seen anyone make the mistakes that static_cast would prevent in this specific circumstance).,0,0,0,0,0,0,0,0,0,1,1,0,0
"You mean after executing the template? It is not trivial, since \n are significant inside code snippets.
 
 I failed to understand how to force text/template to emit correct spaces. I tried {- and -} and various combinations of thereof. This shit is insane. I gave up.",1,0,0,0,0,0,0,0,1,0,1,1,0
You mean here and on lines 60 and 62? Those exception are just to verify that this fixup works... And I need Jenkins to fail to see either one of those messages. And nothing fails! Damn heisenbug!,0,0,0,0,0,0,0,0,0,1,1,0,0
"You need to either make this a get('count', 1) or add a validator to ensure that the count key exists. KeyErrors are ugly.",0,0,0,0,0,0,0,0,0,1,1,0,0
Your ordering is a little ugly. BUG= and TEST= should be above all the tags an the Change-Id should be together with all the Signed-off-bys. Then maybe I would have noticed that git hash the first time I looked at this.,0,0,0,0,1,0,0,0,0,0,1,1,0
"you're right, it looked clumsy when I did it the other way but I think it's the right way. I'll fix it.",0,0,1,1,0,0,0,1,0,0,1,1,0
"Yuck, cruft, will remove tomorrow. Wonder why it didn't warn me...",0,0,0,1,0,0,0,0,0,0,1,1,0
"Yuck. Use %.70s, which will do this more gracefully",0,0,0,0,0,0,0,0,0,1,1,0,0